player,role,skill_level,star_rating,total_matches,teams,batting_avg,strike_rate,total_runs,bowling_avg,economy,total_wickets
JO Holder,All-rounder,Average,4.0,127,West Indies,20.04,87.4,2144,35.81,5.38,151.0
MG Erasmus,All-rounder,Elite,9.5,49,Namibia,37.71,71.96,1810,26.97,4.13,32.0
Aayan Afzal Khan,All-rounder,Average,5.0,34,United Arab Emirates,18.87,56.32,585,29.0,3.92,40.0
Rameez Shahzad,Batsman,Good,5.5,26,United Arab Emirates,33.92,64.45,848,,5.2,0.0
JJ Bumrah,All-rounder,Average,5.0,87,India,4.29,63.73,90,22.85,4.39,143.0
RJW Topley,All-rounder,Average,4.0,29,England,1.82,39.48,20,25.09,5.15,46.0
JP Bray,Batsman,Average,4.0,10,Ireland,23.4,41.84,234,,,
JN Loftie-Eaton,All-rounder,Good,5.5,36,Namibia,24.12,72.12,796,24.3,5.59,20.0
Younis Khan,Batsman,Good,5.5,174,Pakistan,28.43,62.93,4777,203.0,5.8,1.0
MF Maharoof,All-rounder,Average,4.0,87,Sri Lanka,13.32,86.07,799,26.54,4.61,110.0
M Ntini,All-rounder,Average,4.0,88,"South Africa, ICC World XI",3.88,55.85,101,24.13,4.61,141.0
AJ Hall,All-rounder,Average,5.0,55,South Africa,13.82,82.81,387,24.95,4.42,75.0
EC Joyce,Batsman,Good,5.5,60,"Ireland, England",30.75,58.03,1845,,,
CJ McKay,All-rounder,Average,4.0,58,Australia,6.55,65.19,190,23.83,4.71,95.0
S Samarawickrama,Batsman,Good,5.5,40,Sri Lanka,27.51,73.12,1073,,,
VS Solanki,Batsman,Good,5.5,35,England,25.12,59.7,829,73.0,5.62,1.0
LMP Simmons,Batsman,Good,5.5,66,West Indies,30.59,58.67,1958,161.0,6.19,1.0
I Kaia,Batsman,Average,5.0,16,Zimbabwe,20.75,55.94,332,,4.0,0.0
R Trumpelmann,All-rounder,Average,5.0,35,Namibia,12.96,86.87,350,22.17,4.23,54.0
Umar Gul,All-rounder,Average,4.0,118,Pakistan,7.13,61.21,442,29.58,4.95,156.0
HH Dippenaar,Batsman,Star,7.0,38,"South Africa, Africa XI",35.64,56.62,1283,,,
G Singh,All-rounder,Star,7.0,31,United States of America,30.26,83.84,938,15.83,5.28,6.0
V Sibanda,Batsman,Average,4.0,101,"Zimbabwe, Africa XI",21.91,50.68,2125,85.0,5.8,3.0
BM Duckett,Batsman,Star,7.0,16,England,43.75,79.51,700,,,
K Rabada,All-rounder,Average,4.0,99,South Africa,8.95,79.68,385,25.61,4.76,161.0
B Lee,All-rounder,Average,5.0,153,Australia,11.38,74.17,865,22.13,4.34,256.0
GH Dockrell,All-rounder,Average,4.0,86,Ireland,16.67,85.02,1117,43.73,4.76,56.0
MA Starc,All-rounder,Average,4.0,124,Australia,8.68,73.5,573,22.03,4.91,236.0
DJG Sammy,All-rounder,Average,4.0,120,West Indies,18.17,87.54,1853,48.09,4.62,77.0
CJA Amini,All-rounder,Average,4.0,45,Papua New Guinea,21.16,56.89,952,41.8,4.73,30.0
SE Bond,All-rounder,Average,5.0,60,New Zealand,5.97,62.35,173,20.15,3.93,107.0
R Powell,Batsman,Average,4.0,48,West Indies,20.33,78.24,915,86.33,6.32,3.0
DA Marillier,All-rounder,Good,6.5,10,Zimbabwe,24.9,55.12,249,52.0,4.33,5.0
CRD Fernando,All-rounder,Average,4.0,84,"Sri Lanka, Asia XI",5.15,52.26,170,29.46,4.77,106.0
JM Kemp,All-rounder,Good,6.5,63,"South Africa, Africa XI",22.29,76.4,1226,37.85,4.47,13.0
CO Obuya,All-rounder,Good,5.5,36,Kenya,23.03,64.45,737,32.05,4.64,20.0
N Dickwella,Wicketkeeper-Batsman,Good,5.5,55,Sri Lanka,30.85,87.87,1604,,,
GW Flower,All-rounder,Star,8.0,23,Zimbabwe,29.86,55.22,627,49.89,4.49,9.0
A Nehra,All-rounder,Average,4.0,79,"India, Asia XI",2.9,53.62,90,29.96,5.23,105.0
CA Ingram,Batsman,Good,5.5,30,South Africa,27.18,66.34,761,,17.0,0.0
KH Prajapati,Batsman,Good,5.5,35,Oman,28.46,62.24,996,,,
CA Soper,All-rounder,Average,5.0,50,Papua New Guinea,13.89,52.94,653,25.71,4.19,63.0
HH Streak,All-rounder,Good,6.5,31,"Zimbabwe, Africa XI",27.26,71.37,736,23.73,3.89,41.0
MH Cross,Wicketkeeper-Batsman,Average,4.0,84,Scotland,22.64,59.89,1675,,,
AC Voges,Batsman,Good,5.5,30,Australia,29.56,81.07,798,57.25,5.72,4.0
Basil Hameed,All-rounder,Good,6.5,47,United Arab Emirates,23.36,66.34,1051,22.24,4.1,42.0
J Little,All-rounder,Average,4.5,33,Ireland,6.15,97.46,80,29.93,5.8,55.0
Mohammad Amir,All-rounder,Average,4.0,59,Pakistan,12.1,62.66,363,28.05,4.62,81.0
RW Chakabva,Wicketkeeper-Batsman,Average,4.0,52,Zimbabwe,22.12,57.47,1106,,,
Nasir Jamshed,Batsman,Good,5.5,49,Pakistan,29.54,62.7,1418,,,
B Sharki,Batsman,Good,5.5,27,Nepal,28.12,58.32,703,,8.0,0.0
A Dananjaya,All-rounder,Average,4.0,38,Sri Lanka,11.07,81.5,321,33.64,5.07,50.0
LD Chandimal,Wicketkeeper-Batsman,Good,5.5,140,Sri Lanka,26.69,64.77,3657,,,
Mashrafe Mortaza,All-rounder,Average,4.0,175,"Bangladesh, Asia XI",10.78,78.07,1304,33.43,4.91,209.0
JM Vince,Batsman,Good,5.5,26,England,28.1,77.75,590,37.0,5.29,1.0
SP Narine,All-rounder,Average,5.0,64,West Indies,8.64,78.41,363,26.68,3.92,85.0
Nizakat Khan,Batsman,Good,5.5,15,Hong Kong,33.87,87.66,508,29.0,4.83,3.0
PJ Forrest,Batsman,Good,5.5,14,Australia,26.29,45.36,368,,,
Fawad Alam,Batsman,Good,5.5,38,Pakistan,27.6,66.97,966,124.33,5.65,3.0
Nasir Hossain,All-rounder,Good,5.5,63,Bangladesh,24.31,74.04,1240,42.3,4.75,23.0
RS Morton,Batsman,Good,6.5,43,West Indies,29.39,47.86,1205,,2.0,0.0
CL Cairns,All-rounder,Good,5.5,34,New Zealand,26.33,82.57,790,37.55,4.88,20.0
GT Main,Bowler,Good,5.5,16,Scotland,27.33,84.17,82,17.0,5.01,33.0
SC Ganguly,All-rounder,Star,7.0,74,"India, Asia XI",33.0,59.71,2409,47.47,4.89,17.0
CL White,All-rounder,Good,5.5,85,Australia,27.37,77.03,2053,30.0,6.0,10.0
MG Johnson,All-rounder,Average,5.0,146,Australia,10.74,93.88,934,23.95,4.47,225.0
DL Vettori,All-rounder,Average,5.0,154,"New Zealand, ICC World XI",15.1,86.5,1450,29.6,3.91,174.0
JC Archer,All-rounder,Average,4.0,26,England,6.23,90.56,81,24.61,4.73,44.0
Sabbir Rahman,Batsman,Average,4.0,61,Bangladesh,22.89,83.06,1259,109.0,6.96,3.0
Shayan Jahangir,Batsman,Average,4.0,22,United States of America,24.85,79.17,497,,,
CJ Chibhabha,All-rounder,Good,5.5,87,Zimbabwe,22.84,57.68,1987,46.89,5.78,28.0
LPC Silva,Batsman,Good,6.5,53,Sri Lanka,26.1,61.1,1279,31.0,4.43,1.0
Shaheen Shah Afridi,All-rounder,Average,4.0,52,Pakistan,8.33,84.33,225,22.86,5.41,106.0
IK Pathan,All-rounder,Average,4.0,98,India,17.27,77.21,1226,28.77,5.04,142.0
C Kieswetter,Wicketkeeper-Batsman,Good,5.5,44,England,25.92,82.75,985,,,
AB Agarkar,All-rounder,Average,4.0,65,India,9.51,57.85,352,25.05,4.66,100.0
Mohammad Yousuf,Batsman,Star,7.0,76,"Pakistan, Asia XI",36.62,70.44,2783,,,
MD Dai,All-rounder,Good,6.5,10,Papua New Guinea,27.7,65.56,277,33.09,4.09,11.0
JDF Vandersay,All-rounder,Average,4.0,27,Sri Lanka,7.47,51.59,112,30.18,5.26,34.0
FH Edwards,All-rounder,Average,5.0,40,West Indies,3.89,50.83,70,26.61,4.47,49.0
SO Tikolo,All-rounder,Average,4.0,38,"Kenya, Africa XI",18.55,52.09,705,36.21,4.94,24.0
UT Khawaja,Batsman,Star,7.0,38,Australia,40.5,75.45,1539,,,
SL Malinga,All-rounder,Average,4.0,209,Sri Lanka,4.79,68.17,508,26.94,4.99,322.0
PA de Silva,All-rounder,Star,7.0,13,Sri Lanka,30.0,69.03,390,38.83,4.96,12.0
S Sreesanth,All-rounder,Average,4.0,49,India,2.32,40.94,44,30.37,5.6,73.0
KAJ Roach,All-rounder,Average,4.0,90,West Indies,5.92,47.3,308,29.69,4.84,118.0
KD Mills,All-rounder,Average,4.0,131,New Zealand,12.1,87.59,871,25.42,4.58,191.0
SV Samson,Batsman,Star,7.0,15,India,36.43,88.24,510,,,
Kuldeep Yadav,All-rounder,Average,4.0,102,India,5.74,51.18,195,28.08,4.98,153.0
PL Mommsen,Batsman,Good,5.5,19,Scotland,31.63,63.67,601,,,
Karan KC,All-rounder,Average,4.0,53,Nepal,12.03,81.28,457,24.75,4.96,75.0
B Evans,All-rounder,Average,4.0,14,Zimbabwe,9.31,82.0,121,38.69,5.78,13.0
JOA Gordon,All-rounder,Average,4.0,10,Canada,2.75,77.87,22,25.53,5.18,15.0
Mustafizur Rahman,All-rounder,Average,4.0,95,Bangladesh,3.55,40.42,149,25.44,5.02,152.0
DS Smith,Batsman,Average,4.0,41,West Indies,24.95,60.36,973,,5.5,0.0
AB Barath,Batsman,Good,5.5,14,West Indies,28.14,58.18,394,,,
J Liyanage,Batsman,Good,5.5,17,Sri Lanka,34.87,75.25,523,77.0,5.5,2.0
Mohammed Siraj,All-rounder,Average,4.0,43,India,3.44,49.12,55,21.75,4.84,71.0
Yasir Shah,All-rounder,Average,4.0,25,Pakistan,10.58,72.23,127,49.61,5.31,23.0
JW Hastings,All-rounder,Average,4.5,29,Australia,15.06,99.98,271,28.62,4.85,42.0
A Dutt,All-rounder,Average,4.0,44,Netherlands,6.03,60.93,193,36.24,4.75,46.0
S Lamichhane,All-rounder,Average,5.0,53,Nepal,12.94,79.82,440,18.4,4.28,112.0
JN Frylinck,All-rounder,Average,5.0,35,Namibia,19.84,70.7,615,24.71,4.16,35.0
Kashif Daud,All-rounder,Average,5.0,19,United Arab Emirates,17.62,74.61,282,29.0,4.22,16.0
WPUJC Vaas,All-rounder,Average,5.0,94,Sri Lanka,8.25,70.83,569,28.5,3.97,109.0
DS Airee,All-rounder,Average,5.0,55,Nepal,16.88,61.85,861,35.0,3.97,36.0
KM Jarvis,All-rounder,Average,4.0,41,Zimbabwe,6.96,51.29,195,33.54,5.07,50.0
JN Mohammed,All-rounder,Average,4.0,31,West Indies,21.41,56.04,621,48.29,4.63,7.0
C Green,All-rounder,Good,5.5,28,Australia,26.08,79.66,626,37.85,5.61,20.0
NM Coulter-Nile,All-rounder,Average,4.0,32,Australia,12.6,74.35,252,28.23,5.4,52.0
Shaiman Anwar,Batsman,Good,5.5,30,United Arab Emirates,31.57,69.66,947,32.5,7.22,4.0
AR Adams,All-rounder,Average,4.0,17,New Zealand,13.75,79.23,165,28.62,5.09,24.0
L Ngidi,All-rounder,Average,4.0,57,South Africa,5.22,70.0,120,27.61,5.52,90.0
Umar Akmal,Wicketkeeper-Batsman,Good,5.5,112,Pakistan,28.07,78.81,3032,,,
DW Steyn,All-rounder,Average,4.0,126,"South Africa, Africa XI",7.16,59.26,365,25.11,4.67,192.0
TT Samaraweera,Batsman,Average,4.0,35,Sri Lanka,22.3,68.94,669,,6.6,0.0
SCJ Broad,All-rounder,Average,4.0,117,England,7.83,68.92,509,29.08,5.12,173.0
WD Parnell,All-rounder,Average,4.0,73,South Africa,13.67,82.78,574,29.12,5.36,99.0
AT Carey,Wicketkeeper-Batsman,Good,5.5,73,Australia,28.67,82.82,1978,,,
VVS Laxman,Batsman,Good,5.5,27,India,30.67,61.32,828,,,
JEC Franklin,All-rounder,Average,4.0,74,New Zealand,18.15,76.9,1107,36.61,5.0,56.0
MK Tiwary,All-rounder,Good,5.5,16,India,23.92,61.15,287,28.4,6.45,5.0
T Lungameni,All-rounder,Average,5.0,30,Namibia,3.38,64.98,44,23.32,4.38,44.0
A Mishra,All-rounder,Average,4.0,32,India,4.3,46.76,43,26.08,4.7,53.0
JF Mooney,All-rounder,Average,4.0,36,Ireland,19.06,78.97,610,31.64,5.22,33.0
JR Hazlewood,All-rounder,Average,4.0,88,Australia,4.37,63.51,131,26.92,4.7,134.0
N Vanua,All-rounder,Average,4.0,51,Papua New Guinea,15.69,72.35,769,33.14,4.79,51.0
CP Rizwan,Batsman,Average,5.0,39,United Arab Emirates,23.71,51.95,901,37.0,4.11,1.0
Anshuman Rath,All-rounder,Star,8.0,12,Hong Kong,32.75,66.05,393,10.5,2.44,10.0
SM Katich,Batsman,Good,5.5,31,Australia,33.58,67.16,1041,,,
WG Jacks,All-rounder,Good,5.5,15,England,31.2,79.23,468,43.0,5.51,5.0
R Ngarava,All-rounder,Average,4.0,40,Zimbabwe,8.65,83.13,225,30.76,5.09,51.0
Rubel Hossain,All-rounder,Average,4.0,95,Bangladesh,2.87,48.53,112,32.6,5.55,121.0
L Vincent,Batsman,Average,4.0,47,New Zealand,24.2,53.97,1089,22.0,7.33,1.0
A Zampa,All-rounder,Average,4.0,104,Australia,6.54,62.24,327,29.4,5.47,167.0
NS Dhaliwal,Batsman,Good,5.5,11,Canada,26.82,47.39,295,,20.0,0.0
SW Masakadza,All-rounder,Average,4.0,13,Zimbabwe,13.62,74.76,109,31.41,6.64,22.0
MS Wade,Wicketkeeper-Batsman,Average,4.0,90,Australia,21.85,78.96,1792,,,
AR Nurse,All-rounder,Average,4.0,46,West Indies,12.97,89.08,454,47.63,5.46,41.0
Muhammad Usman,Batsman,Good,5.5,34,United Arab Emirates,26.12,65.99,888,,,
SJ Modani,Batsman,Good,6.5,33,United States of America,27.21,53.35,898,,3.0,0.0
TT Bresnan,All-rounder,Average,4.0,84,England,13.83,90.45,871,34.11,5.25,107.0
RJ Harris,All-rounder,Average,4.5,21,Australia,5.33,105.0,48,18.36,4.73,44.0
TK Curran,All-rounder,Average,4.0,28,England,18.94,87.66,303,36.88,5.78,34.0
Abdur Razzak,All-rounder,Average,5.0,121,Bangladesh,8.15,62.57,644,30.47,4.41,150.0
DM de Silva,All-rounder,Good,5.5,80,Sri Lanka,23.42,72.0,1710,46.77,5.1,35.0
DL Chahar,All-rounder,Good,5.5,11,India,23.88,86.0,191,28.8,5.27,15.0
MK Pandey,Batsman,Average,4.0,29,India,24.26,93.32,558,,,
SN Thakur,All-rounder,Average,4.5,46,India,13.71,96.81,329,29.61,5.98,64.0
Ghulam Shabber,Batsman,Average,4.0,20,United Arab Emirates,22.2,53.88,444,,,
DR Smith,All-rounder,Average,4.0,86,West Indies,17.04,82.07,1261,33.94,4.85,52.0
AJ Hosein,All-rounder,Average,4.0,38,West Indies,9.5,64.82,266,29.18,4.68,56.0
M Dillon,All-rounder,Average,5.0,20,West Indies,4.4,78.75,44,29.96,4.33,23.0
A Bagai,Wicketkeeper-Batsman,Good,5.5,26,Canada,25.58,55.51,614,,,
KS Lokuarachchi,All-rounder,Average,5.0,14,Sri Lanka,13.67,59.73,164,30.69,4.46,16.0
S Fouché,All-rounder,Star,7.0,10,Namibia,32.43,55.94,227,21.56,4.97,9.0
JDS Neesham,All-rounder,Good,5.5,75,New Zealand,23.2,93.44,1508,36.57,5.97,65.0
Rajin Saleh,All-rounder,Average,4.0,26,Bangladesh,19.81,42.75,515,33.14,5.04,7.0
Ali Naseer,All-rounder,Good,5.5,17,United Arab Emirates,23.29,85.51,396,31.45,5.52,20.0
Azhar Ali,Batsman,Good,5.5,54,Pakistan,34.73,65.39,1806,250.0,5.81,1.0
Ziaur Rahman,All-rounder,Average,5.0,12,Bangladesh,8.3,70.67,83,25.6,4.41,10.0
Zahoor Khan,All-rounder,Average,4.0,60,United Arab Emirates,3.76,49.73,143,24.58,4.76,90.0
RR Hendricks,Batsman,Good,5.5,36,South Africa,26.57,58.98,930,47.0,6.71,1.0
FH Allen,Batsman,Good,5.5,21,New Zealand,27.71,72.79,582,,,
KMDN Kulasekara,All-rounder,Average,4.0,178,Sri Lanka,11.31,76.04,1323,33.36,4.81,192.0
RJ Peterson,All-rounder,Average,4.0,66,South Africa,15.38,84.63,523,35.16,4.82,63.0
Haris Rauf,All-rounder,Average,4.0,42,Pakistan,5.0,56.77,70,24.86,5.61,77.0
MRJ Watt,All-rounder,Average,5.0,61,Scotland,13.63,79.81,586,26.1,4.08,83.0
AR Patel,All-rounder,Average,5.0,59,India,14.56,82.46,568,33.66,4.45,61.0
Saeed Ajmal,All-rounder,Average,5.0,107,Pakistan,4.89,58.49,323,25.11,4.1,156.0
R Dravid,Wicketkeeper-Batsman,Good,5.5,120,"India, ICC World XI",31.2,69.37,3650,,,
Yousuf Youhana,Batsman,Good,5.5,54,"Pakistan, Asia XI",32.83,67.26,1740,,,
JR Hopes,All-rounder,Average,5.5,81,Australia,21.74,96.93,1326,35.65,4.49,65.0
JWA Taylor,Batsman,Star,7.0,25,England,35.16,66.03,879,,,
RP Burl,All-rounder,Good,5.5,38,Zimbabwe,23.06,79.31,761,43.92,6.34,13.0
T van der Gugten,All-rounder,Average,5.0,10,Netherlands,15.71,74.79,110,19.09,3.0,11.0
MO Odumbe,All-rounder,Star,7.5,10,Kenya,32.4,101.47,324,50.17,5.02,6.0
M Morkel,All-rounder,Average,4.0,113,"South Africa, Africa XI",6.38,58.72,268,23.73,4.66,187.0
BA Williams,Bowler,Elite,9.5,19,Australia,3.5,34.93,14,18.87,3.66,31.0
CK Kapugedera,Batsman,Average,4.0,85,Sri Lanka,19.8,63.71,1505,109.0,4.95,2.0
BAW Mendis,All-rounder,Average,4.0,79,Sri Lanka,4.74,66.46,185,24.36,4.77,127.0
DE Bollinger,All-rounder,Average,5.0,39,Australia,7.14,80.63,50,22.35,4.28,62.0
GSNFG Jayasuriya,Batsman,Average,4.0,11,Sri Lanka,20.11,65.61,181,126.5,5.5,2.0
LE Bosman,Batsman,Good,5.5,12,"South Africa, Africa XI",25.08,73.89,301,,,
Sohail Tanvir,All-rounder,Average,4.0,59,Pakistan,10.5,79.77,399,33.87,4.75,69.0
Mohammad Hasnain,All-rounder,Average,4.5,14,Pakistan,7.57,136.39,53,38.47,5.84,17.0
Tanzid Hasan,Batsman,Average,4.0,16,Bangladesh,22.75,85.45,364,,,
SA Edwards,Wicketkeeper-Batsman,Good,5.5,51,Netherlands,30.69,75.29,1504,,,
Amjad Ali,Batsman,Average,4.0,10,United Arab Emirates,24.9,57.53,249,,,
JA Morkel,All-rounder,Average,4.0,51,"South Africa, Africa XI",18.08,94.78,705,37.09,5.33,44.0
M Muralitharan,All-rounder,Average,5.0,124,"Sri Lanka, ICC World XI, Asia XI",4.95,81.73,317,25.62,3.95,172.0
DT Tiripano,All-rounder,Average,4.0,31,Zimbabwe,13.19,62.97,343,43.67,5.64,27.0
A Nel,All-rounder,Average,5.0,58,South Africa,6.47,89.97,123,24.92,4.41,84.0
SSJ Brooks,Batsman,Good,5.5,29,West Indies,29.03,53.72,842,,,
L Siaka,Batsman,Average,5.0,41,Papua New Guinea,18.73,67.65,749,48.67,4.42,3.0
JM Anderson,All-rounder,Average,4.0,177,England,3.97,45.11,254,27.92,4.73,250.0
Naved-ul-Hasan,All-rounder,Average,4.0,62,Pakistan,10.69,93.14,449,28.44,5.12,86.0
AS Joseph,All-rounder,Average,4.0,69,West Indies,9.95,68.07,398,26.43,5.22,118.0
DJ Willey,All-rounder,Average,4.5,71,England,14.58,106.88,656,27.85,5.25,100.0
FDM Karunaratne,Batsman,Good,5.5,38,Sri Lanka,27.47,60.0,1044,,9.0,0.0
KOA Powell,Batsman,Average,4.0,41,West Indies,22.78,66.09,934,,,
VC Drakes,All-rounder,Average,5.0,12,West Indies,6.44,35.69,58,31.71,4.31,14.0
IJ Harvey,All-rounder,Average,5.0,22,Australia,15.24,87.51,259,25.88,4.43,26.0
D Wiese,All-rounder,Good,5.5,14,"South Africa, Namibia",23.43,90.67,328,41.47,5.5,15.0
PA van Meekeren,All-rounder,Average,4.0,24,Netherlands,4.22,64.56,76,24.7,5.07,40.0
C Munro,All-rounder,Good,5.5,53,New Zealand,24.02,88.32,1249,65.71,5.0,7.0
MJ Henry,All-rounder,Average,4.0,81,New Zealand,7.44,77.58,268,24.4,5.04,149.0
GP Swann,All-rounder,Average,4.0,75,England,10.11,89.59,475,31.77,4.53,87.0
PVD Chameera,All-rounder,Average,4.0,47,Sri Lanka,8.19,58.92,262,35.3,5.23,47.0
BA Carse,All-rounder,Average,4.0,18,England,16.0,79.62,192,34.57,5.98,23.0
Shamsur Rahman,Batsman,Good,5.5,10,Bangladesh,29.56,60.04,266,,13.0,0.0
Mohammad Nadeem,All-rounder,Good,5.5,35,Oman,22.48,57.96,697,39.76,5.45,17.0
Amjad Javed,All-rounder,Average,4.0,13,United Arab Emirates,19.83,82.32,238,70.14,5.78,7.0
GB Hogg,All-rounder,Average,5.0,95,Australia,13.77,74.56,647,26.14,4.36,117.0
RV Uthappa,Batsman,Average,4.0,44,India,22.78,79.45,934,,,
R Ashwin,All-rounder,Average,4.0,114,India,11.59,83.7,707,37.1,4.82,135.0
MP O'Dowd,Batsman,Good,5.5,53,Netherlands,31.74,60.93,1682,116.0,5.8,1.0
BM Scholtz,All-rounder,Average,5.0,49,Namibia,8.96,57.16,251,22.65,3.3,63.0
Shariz Ahmad,All-rounder,Average,4.0,19,Netherlands,9.35,54.06,159,32.78,6.02,18.0
SI Kamea,All-rounder,Average,4.0,20,Papua New Guinea,1.29,49.57,18,25.0,4.64,28.0
Sarfraz Ahmed,Wicketkeeper-Batsman,Good,5.5,110,Pakistan,25.72,84.56,2289,,7.5,0.0
Mohammad Sami,All-rounder,Average,5.0,48,Pakistan,10.25,86.2,246,26.85,4.43,67.0
MR Adair,All-rounder,Average,4.5,46,Ireland,13.12,114.56,420,33.93,5.35,55.0
TM Dowlin,Batsman,Average,4.0,11,West Indies,22.8,40.34,228,,,
BJ Watling,Batsman,Average,4.0,25,New Zealand,23.88,52.71,573,,,
IG Holland,All-rounder,Good,6.5,15,United States of America,26.29,70.44,368,23.95,4.38,19.0
Babar Hayat,Batsman,Star,7.0,15,Hong Kong,35.93,62.36,539,,9.0,0.0
DT Johnston,All-rounder,Average,5.0,33,Ireland,12.45,79.99,361,28.46,4.33,37.0
LE Plunkett,All-rounder,Average,4.5,84,England,11.4,110.13,536,27.65,5.42,131.0
B Kumar,All-rounder,Average,4.0,119,India,10.42,63.74,552,33.82,4.95,141.0
TJ Murtagh,All-rounder,Average,4.0,31,Ireland,7.15,67.96,143,27.58,4.51,45.0
AA Obanda,Batsman,Good,5.5,15,Kenya,34.79,69.24,487,,,
JN Gillespie,All-rounder,Average,5.0,38,Australia,8.85,81.87,115,21.73,3.73,56.0
Faheem Ashraf,All-rounder,Average,4.0,33,Pakistan,9.65,80.09,222,47.42,5.1,24.0
Naseem Shah,All-rounder,Average,4.0,18,Pakistan,9.5,72.58,57,18.38,4.84,40.0
D Madushanka,All-rounder,Average,4.0,22,Sri Lanka,4.0,76.99,36,21.76,5.79,41.0
Sohail Khan,All-rounder,Average,4.0,13,Pakistan,4.17,50.48,25,30.11,5.15,19.0
D Pretorius,All-rounder,Average,4.0,26,South Africa,14.77,75.86,192,26.77,4.93,35.0
Bilal Khan,All-rounder,Average,4.0,47,Oman,1.5,32.76,30,19.67,4.8,98.0
Ashfaq Ahmed,Batsman,Average,4.0,15,United Arab Emirates,22.87,72.84,343,39.5,4.94,4.0
Raqibul Hasan,Batsman,Average,4.0,48,Bangladesh,24.52,50.82,1177,,,
Khurram Chohan,All-rounder,Average,4.0,11,Canada,8.56,65.27,77,22.32,4.99,19.0
PA Patel,Wicketkeeper-Batsman,Average,4.0,30,India,23.9,73.02,693,,,
SN Netravalkar,All-rounder,Average,5.0,51,United States of America,4.93,58.37,138,21.34,3.92,82.0
SS Cottrell,All-rounder,Average,4.0,34,West Indies,5.18,65.43,88,31.21,5.67,48.0
Afif Hossain,Batsman,Average,4.0,27,Bangladesh,22.83,82.55,548,34.0,6.0,3.0
AC Evans,All-rounder,Average,4.0,26,Scotland,6.0,60.63,66,30.72,5.29,36.0
BV Vitori,All-rounder,Average,4.0,20,Zimbabwe,5.73,66.84,63,32.72,5.52,29.0
Bilawal Bhatti,All-rounder,Average,4.0,10,Pakistan,12.71,88.67,89,71.33,6.29,6.0
I Udana,All-rounder,Average,4.0,20,Sri Lanka,13.35,82.56,227,52.18,6.12,17.0
Imad Wasim,All-rounder,Good,6.0,53,Pakistan,24.03,108.46,937,47.38,4.75,39.0
LN Rajbanshi,All-rounder,Average,5.0,31,Nepal,2.06,19.61,37,22.33,3.8,39.0
MJ McClenaghan,All-rounder,Average,4.0,46,New Zealand,7.71,64.71,108,26.83,5.63,82.0
GD Phillips,All-rounder,Good,5.5,33,New Zealand,26.3,90.21,710,43.92,5.86,12.0
YS Chahal,All-rounder,Average,4.0,71,India,5.5,49.68,77,29.17,5.2,109.0
Aryan Lakra,All-rounder,Good,5.5,16,United Arab Emirates,24.19,47.49,387,54.6,5.15,5.0
CK Langeveldt,All-rounder,Average,4.0,61,South Africa,4.12,75.88,70,31.21,4.98,80.0
K Gore,All-rounder,Average,5.0,13,United States of America,14.25,59.77,171,25.0,3.87,11.0
BW Hilfenhaus,All-rounder,Average,4.0,25,Australia,3.22,29.96,29,34.69,4.93,29.0
Misbah-ul-Haq,Batsman,Star,7.0,143,Pakistan,35.2,71.21,4752,,7.5,0.0
SHT Kandamby,Batsman,Good,5.5,33,Sri Lanka,25.84,66.99,827,85.0,5.86,2.0
Mominul Haque,All-rounder,Good,5.5,22,Bangladesh,22.5,71.92,495,22.33,5.15,6.0
Hasan Mahmud,All-rounder,Average,4.0,19,Bangladesh,3.08,39.13,37,28.61,5.6,28.0
CJ Jordan,All-rounder,Average,4.0,39,England,8.0,93.02,184,35.72,5.61,43.0
Z Khan,All-rounder,Average,4.0,128,"India, Asia XI",9.0,73.47,531,28.63,4.69,179.0
ZE Green,Wicketkeeper-Batsman,Average,4.0,35,Namibia,22.87,75.67,686,,,
GB Brent,All-rounder,Average,5.0,24,Zimbabwe,10.67,75.15,192,37.68,4.46,22.0
Towhid Hridoy,Batsman,Good,5.5,22,Bangladesh,34.5,87.64,759,,,
DT Christian,All-rounder,Average,4.0,19,Australia,15.17,83.99,273,29.1,4.81,20.0
GO Jones,Wicketkeeper-Batsman,Average,4.0,39,England,21.03,77.68,715,,,
Imran Farhat,Batsman,Good,5.5,48,Pakistan,28.0,55.69,1232,19.5,4.88,2.0
TAM Siriwardana,All-rounder,Average,4.0,27,Sri Lanka,21.5,90.69,516,59.89,5.44,9.0
HR Walsh,All-rounder,Average,4.0,24,"West Indies, United States of America",13.23,83.03,172,39.0,5.36,22.0
SM Ervine,All-rounder,Average,4.0,23,Zimbabwe,18.88,84.06,321,28.48,5.12,23.0
GC Wilson,Wicketkeeper-Batsman,Average,4.0,59,Ireland,21.61,67.34,1232,,,
Hamza Tahir,All-rounder,Average,5.0,29,Scotland,3.25,26.8,26,26.62,4.21,37.0
Usman Shinwari,Bowler,Star,7.0,16,Pakistan,1.5,75.0,6,16.15,4.69,34.0
SM Sharif,All-rounder,Average,4.0,64,Scotland,11.18,67.81,492,29.54,4.73,80.0
K Verreynne,Batsman,Star,7.0,16,South Africa,39.67,81.13,476,,,
KW Richardson,All-rounder,Average,4.5,25,Australia,6.25,102.56,75,31.89,5.56,38.0
J Theron,All-rounder,Average,4.0,18,"South Africa, United States of America",4.17,40.9,50,20.39,4.86,31.0
